transaction_id,transaction_date,transaction_time,transaction_amount,transaction_category,customer_location,merchant_name,merchant_location,transaction_mode,amount_paid,previous_transactions_count,merchant_category,credit_card_id,status
29,2024-10-01,3:39:55,720.49,Clothing,Pune,More,Pune,ATM,720.49,13,Retail,734,Pending
30,2024-10-01,4:06:21,3714.3,Furniture,Mumbai,HyperCity,Delhi,Online,3714.3,14,Furniture,1483,Pending
31,2024-10-01,16:32:15,3012.18,Healthcare,Bangalore,D Mart,Pune,ATM,3012.18,17,Grocery,1400,Success
32,2024-10-01,13:44:28,790.32,Clothing,Pune,More,Mumbai,POS,790.32,9,Furniture,2625,Success
33,2024-10-01,17:42:54,4505.92,Healthcare,Kolkata,Reliance Fresh,Bangalore,ATM,4505.92,9,Grocery,1513,Pending
34,2024-10-01,1:34:55,4768,Furniture,Delhi,D Mart,Delhi,POS,4768,7,Furniture,867,Pending
35,2024-10-01,10:52:57,788.75,Clothing,Delhi,HyperCity,Kolkata,Online,788.75,5,Apparel,2187,Pending
36,2024-10-01,15:03:05,3550.56,Electronics,Hyderabad,HyperCity,Kolkata,ATM,3550.56,10,Apparel,828,Failed
37,2024-10-01,3:40:59,1213.67,Electronics,Chennai,Reliance Fresh,Bangalore,ATM,1213.67,17,Apparel,2877,Success
38,2024-10-01,18:05:44,968.42,Clothing,Mumbai,HyperCity,Pune,Online,968.42,13,Electronics,2978,Pending
39,2024-10-01,8:31:23,2254.46,Clothing,Pune,D Mart,Pune,POS,2254.46,2,Grocery,2087,Failed
40,2024-10-01,23:54:42,4048.97,Clothing,Bangalore,More,Kolkata,Online,4048.97,10,Grocery,2330,Pending
41,2024-10-01,19:37:23,604.69,Groceries,Chennai,D Mart,Bangalore,POS,604.69,9,Electronics,2816,Pending
42,2024-10-01,20:26:28,3090.69,Healthcare,Hyderabad,More,Pune,Online,3090.69,4,Electronics,869,Success
43,2024-10-01,14:12:12,3002.41,Healthcare,Hyderabad,HyperCity,Pune,POS,3002.41,11,Grocery,3207,Failed
44,2024-10-01,16:03:31,3245.43,Groceries,Kolkata,More,Mumbai,POS,3245.43,2,Electronics,2942,Success
45,2024-10-01,4:15:55,1420.88,Electronics,Delhi,More,Delhi,ATM,1420.88,9,Furniture,988,Failed
46,2024-10-01,16:31:54,4475.66,Groceries,Chennai,More,Pune,Online,4475.66,4,Retail,2899,Success
47,2024-10-01,20:36:53,3700.87,Furniture,Hyderabad,Croma,Kolkata,Online,3700.87,18,Retail,2043,Pending
48,2024-10-01,22:41:28,4890.16,Electronics,Hyderabad,Easy Day,Kolkata,ATM,4890.16,7,Apparel,1634,Success
49,2024-10-01,16:56:51,1106.18,Clothing,Delhi,Spencer's,Chennai,Online,1106.18,3,Retail,2822,Pending
50,2024-10-01,19:20:35,3926.09,Furniture,Pune,More,Chennai,Online,3926.09,15,Furniture,1915,Failed
51,2024-10-01,20:29:04,4005.11,Healthcare,Mumbai,D Mart,Delhi,Online,4005.11,1,Retail,1132,Pending
52,2024-10-01,14:12:43,980.36,Furniture,Mumbai,More,Delhi,ATM,980.36,17,Retail,1575,Success
53,2024-10-01,4:43:28,3597.79,Clothing,Chennai,Reliance Fresh,Bangalore,ATM,3597.79,10,Furniture,1779,Success
54,2024-10-01,12:07:22,4821.66,Furniture,Mumbai,HyperCity,Kolkata,Online,4821.66,13,Electronics,2522,Pending
55,2024-10-01,19:48:29,4064.37,Electronics,Mumbai,Metro,Bangalore,ATM,4064.37,3,Retail,2936,Pending
56,2024-10-01,0:49:12,3376.8,Healthcare,Bangalore,D Mart,Hyderabad,POS,3376.8,8,Grocery,2836,Failed
57,2024-10-01,0:09:46,2884.5,Clothing,Pune,Easy Day,Hyderabad,Online,2884.5,14,Grocery,1162,Success
58,2024-10-01,2:15:39,4167.26,Electronics,Delhi,HyperCity,Hyderabad,ATM,4167.26,5,Retail,1471,Success
59,2024-10-01,16:55:58,2530.81,Clothing,Bangalore,Easy Day,Mumbai,Online,2530.81,9,Retail,2163,Pending
60,2024-10-01,17:47:57,3857.07,Clothing,Delhi,Croma,Hyderabad,POS,3857.07,2,Electronics,1210,Pending
61,2024-10-01,2:30:51,595.64,Clothing,Delhi,Reliance Fresh,Chennai,POS,595.64,14,Retail,1318,Pending
62,2024-10-01,0:32:05,3621.59,Groceries,Kolkata,Big Bazaar,Chennai,Online,3621.59,2,Grocery,2929,Success
63,2024-10-01,4:39:32,2841.15,Electronics,Bangalore,Easy Day,Chennai,ATM,2841.15,3,Retail,2571,Failed
64,2024-10-01,11:09:26,1192.96,Furniture,Mumbai,D Mart,Kolkata,Online,1192.96,4,Grocery,2937,Success
65,2024-10-01,7:17:18,1643.12,Clothing,Bangalore,Easy Day,Pune,POS,1643.12,17,Furniture,568,Success
66,2024-10-01,21:54:36,2463.08,Groceries,Chennai,Big Bazaar,Chennai,ATM,2463.08,5,Furniture,2335,Success
67,2024-10-01,18:59:32,4927.64,Clothing,Bangalore,Metro,Mumbai,Online,4927.64,10,Furniture,1468,Success
68,2024-10-01,15:21:26,4072.15,Furniture,Pune,Spencer's,Bangalore,POS,4072.15,8,Apparel,2512,Pending
69,2024-10-01,2:49:47,4607.26,Healthcare,Delhi,Big Bazaar,Mumbai,Online,4607.26,8,Electronics,2844,Pending
70,2024-10-01,20:23:25,3757.36,Groceries,Mumbai,More,Chennai,ATM,3757.36,1,Furniture,2908,Success
71,2024-10-01,20:24:53,2783.3,Healthcare,Hyderabad,HyperCity,Pune,POS,2783.3,10,Furniture,2591,Success
72,2024-10-01,18:17:29,4707.33,Furniture,Bangalore,More,Pune,Online,4707.33,13,Furniture,2472,Pending
73,2024-10-01,10:16:48,3077.54,Furniture,Pune,D Mart,Hyderabad,POS,3077.54,10,Furniture,2227,Pending
74,2024-10-01,21:49:32,3220.97,Healthcare,Kolkata,Metro,Mumbai,ATM,3220.97,10,Grocery,2974,Pending
75,2024-10-01,3:48:28,4025.89,Healthcare,Chennai,More,Delhi,Online,4025.89,11,Furniture,1859,Success
76,2024-10-01,7:46:08,1824.83,Healthcare,Bangalore,Metro,Hyderabad,Online,1824.83,6,Grocery,2750,Success
77,2024-10-01,13:30:42,1332.3,Electronics,Bangalore,More,Pune,POS,1332.3,13,Furniture,2717,Pending
78,2024-10-01,7:28:02,4822.83,Groceries,Chennai,Spencer's,Kolkata,Online,4822.83,18,Apparel,2285,Success
79,2024-10-01,16:55:13,2290.97,Groceries,Chennai,More,Mumbai,ATM,2290.97,15,Grocery,3081,Pending
80,2024-10-01,12:38:45,1471.58,Healthcare,Kolkata,HyperCity,Hyderabad,ATM,1471.58,8,Electronics,2868,Pending
81,2024-10-01,0:53:15,3481.44,Clothing,Kolkata,Metro,Hyderabad,Online,3481.44,18,Retail,1738,Failed
82,2024-10-01,14:15:11,4226.06,Clothing,Chennai,Big Bazaar,Delhi,ATM,4226.06,19,Furniture,2443,Failed
83,2024-10-01,10:38:20,2036.03,Healthcare,Pune,Reliance Fresh,Chennai,ATM,2036.03,12,Furniture,2406,Pending
84,2024-10-01,22:34:58,1159.76,Clothing,Mumbai,Big Bazaar,Chennai,ATM,1159.76,13,Electronics,1741,Failed
85,2024-10-01,21:54:36,3336.59,Electronics,Mumbai,More,Chennai,POS,3336.59,4,Grocery,2119,Success
86,2024-10-01,12:07:39,4132.55,Clothing,Hyderabad,Reliance Fresh,Pune,Online,4132.55,9,Grocery,1722,Failed
87,2024-10-01,23:47:08,2294.02,Electronics,Delhi,More,Pune,POS,2294.02,17,Electronics,507,Pending
88,2024-10-01,5:45:12,4545.47,Groceries,Pune,More,Chennai,Online,4545.47,1,Retail,2373,Pending
89,2024-10-01,17:55:37,4334.93,Furniture,Hyderabad,More,Chennai,Online,4334.93,2,Retail,1883,Failed
90,2024-10-01,3:09:37,2767.55,Groceries,Mumbai,Metro,Pune,ATM,2767.55,11,Retail,1445,Success
91,2024-10-01,4:54:12,4754.05,Furniture,Hyderabad,Spencer's,Hyderabad,ATM,4754.05,9,Retail,2710,Failed
92,2024-10-01,3:15:28,3334.38,Groceries,Pune,Metro,Mumbai,POS,3334.38,14,Grocery,2109,Pending
93,2024-10-01,6:12:12,2848.13,Healthcare,Chennai,Metro,Kolkata,Online,2848.13,2,Electronics,522,Success
94,2024-10-01,23:02:43,3368.76,Clothing,Mumbai,D Mart,Chennai,POS,3368.76,20,Electronics,1857,Failed
95,2024-10-01,18:52:26,1230.41,Furniture,Delhi,D Mart,Pune,POS,1230.41,5,Furniture,1160,Success
96,2024-10-01,23:54:54,2050.48,Healthcare,Pune,Metro,Kolkata,POS,2050.48,16,Apparel,3150,Success
97,2024-10-01,20:46:33,4918.92,Healthcare,Kolkata,More,Mumbai,POS,4918.92,1,Apparel,3154,Pending
98,2024-10-01,20:26:07,3535.85,Clothing,Mumbai,More,Delhi,Online,3535.85,15,Grocery,1808,Success
99,2024-10-01,6:03:57,4717.59,Clothing,Bangalore,Easy Day,Delhi,POS,4717.59,13,Retail,712,Failed
100,2024-10-01,6:27:57,2951.08,Groceries,Chennai,More,Delhi,Online,2951.08,4,Retail,2150,Pending
101,2024-10-01,19:20:40,1235.22,Furniture,Mumbai,Spencer's,Pune,POS,1235.22,8,Furniture,1272,Pending
102,2024-10-01,8:22:54,1929.9,Furniture,Chennai,HyperCity,Hyderabad,POS,1929.9,13,Retail,2559,Success
103,2024-10-01,12:17:09,1482.14,Groceries,Kolkata,More,Bangalore,POS,1482.14,9,Furniture,2934,Success
104,2024-10-01,20:00:55,3766.94,Electronics,Pune,More,Bangalore,Online,3766.94,5,Apparel,1779,Failed
105,2024-10-01,1:50:58,2796.21,Groceries,Chennai,D Mart,Bangalore,Online,2796.21,8,Apparel,1778,Success
106,2024-10-01,12:35:53,3569.22,Groceries,Chennai,Reliance Fresh,Hyderabad,Online,3569.22,5,Apparel,2807,Pending
107,2024-10-01,21:16:55,4059.22,Healthcare,Delhi,D Mart,Mumbai,Online,4059.22,6,Retail,1743,Failed
108,2024-10-01,10:03:04,4524.2,Healthcare,Hyderabad,More,Mumbai,ATM,4524.2,7,Electronics,1367,Pending
109,2024-10-01,0:20:50,4687.63,Furniture,Delhi,HyperCity,Hyderabad,POS,4687.63,16,Furniture,2821,Failed
110,2024-10-01,4:08:36,1552.39,Furniture,Pune,HyperCity,Pune,ATM,1552.39,8,Retail,1875,Pending
111,2024-10-01,7:41:59,1297.47,Clothing,Chennai,V-Mart,Bangalore,Online,1297.47,19,Apparel,3103,Pending
112,2024-10-01,14:22:30,603.13,Healthcare,Hyderabad,More,Chennai,ATM,603.13,4,Apparel,1763,Failed
113,2024-10-01,8:18:49,3650.5,Furniture,Pune,Spencer's,Delhi,POS,3650.5,17,Grocery,2424,Success
114,2024-10-01,8:38:10,2142.89,Groceries,Chennai,D Mart,Delhi,Online,2142.89,6,Grocery,2129,Success
115,2024-10-01,10:31:32,3331.29,Clothing,Kolkata,Spencer's,Mumbai,POS,3331.29,12,Retail,2188,Failed
116,2024-10-01,21:37:34,2925.84,Furniture,Mumbai,D Mart,Chennai,ATM,2925.84,5,Retail,2129,Pending
117,2024-10-01,5:05:17,3430.86,Electronics,Mumbai,More,Delhi,POS,3430.86,19,Apparel,3104,Failed
118,2024-10-01,8:15:33,3897.33,Groceries,Hyderabad,HyperCity,Hyderabad,ATM,3897.33,9,Grocery,2585,Failed
119,2024-10-01,10:00:54,3305.47,Healthcare,Bangalore,More,Pune,Online,3305.47,6,Grocery,1833,Success
120,2024-10-01,11:10:08,4328.93,Groceries,Hyderabad,Spencer's,Kolkata,ATM,4328.93,14,Furniture,2356,Pending
121,2024-10-01,14:31:53,3611.33,Healthcare,Bangalore,More,Bangalore,ATM,3611.33,11,Furniture,547,Pending
122,2024-10-01,1:33:53,2990.93,Groceries,Kolkata,Reliance Fresh,Bangalore,POS,2990.93,15,Furniture,1319,Pending
123,2024-10-01,13:13:22,2560.48,Groceries,Kolkata,Easy Day,Mumbai,POS,2560.48,6,Grocery,2569,Pending
124,2024-10-01,1:12:21,2307.44,Furniture,Chennai,More,Hyderabad,ATM,2307.44,6,Retail,1409,Pending
125,2024-10-01,10:48:09,2534.03,Furniture,Pune,HyperCity,Hyderabad,Online,2534.03,15,Apparel,2561,Pending
126,2024-10-01,11:13:08,2894.89,Furniture,Hyderabad,V-Mart,Pune,ATM,2894.89,19,Apparel,1003,Pending
127,2024-10-01,12:33:25,2737.52,Electronics,Pune,More,Bangalore,ATM,2737.52,19,Grocery,2291,Failed
128,2024-10-01,22:39:21,4973.86,Groceries,Pune,More,Bangalore,ATM,4973.86,17,Retail,1457,Failed
129,2024-10-01,12:00:06,3395.97,Electronics,Bangalore,Easy Day,Kolkata,POS,3395.97,1,Electronics,1783,Failed
130,2024-10-01,14:17:36,2214.23,Healthcare,Bangalore,V-Mart,Hyderabad,Online,2214.23,1,Retail,1929,Success
131,2024-10-01,18:01:12,1758.19,Healthcare,Delhi,Metro,Pune,POS,1758.19,9,Electronics,1580,Success
132,2024-10-01,15:44:19,4704.04,Furniture,Chennai,Croma,Chennai,Online,4704.04,5,Electronics,2885,Pending
133,2024-10-01,9:18:56,1823.74,Electronics,Kolkata,Big Bazaar,Kolkata,ATM,1823.74,19,Electronics,1996,Failed
134,2024-10-01,11:49:32,4236.39,Electronics,Pune,More,Hyderabad,ATM,4236.39,4,Electronics,2077,Failed
135,2024-10-01,0:35:13,1239.9,Groceries,Kolkata,Metro,Delhi,ATM,1239.9,11,Apparel,1764,Success
136,2024-10-01,16:40:51,4612.79,Clothing,Chennai,More,Hyderabad,Online,4612.79,13,Furniture,2461,Success
137,2024-10-01,11:40:42,4407.5,Electronics,Bangalore,HyperCity,Hyderabad,ATM,4407.5,12,Retail,1858,Success
138,2024-10-01,4:25:06,4372.03,Healthcare,Mumbai,More,Kolkata,POS,4372.03,12,Electronics,2921,Success
139,2024-10-01,5:26:10,4782.33,Furniture,Hyderabad,Easy Day,Chennai,ATM,4782.33,11,Retail,878,Pending
140,2024-10-01,7:03:23,1941.99,Furniture,Pune,More,Pune,POS,1941.99,8,Retail,1154,Success
141,2024-10-01,4:48:12,1879.79,Healthcare,Mumbai,More,Pune,ATM,1879.79,3,Retail,498,Failed
142,2024-10-01,4:23:08,3195.5,Electronics,Mumbai,Reliance Fresh,Hyderabad,ATM,3195.5,11,Furniture,2483,Success
143,2024-10-01,17:56:09,1711.1,Groceries,Mumbai,More,Delhi,POS,1711.1,10,Retail,1421,Failed
144,2024-10-01,21:34:15,1821.42,Groceries,Bangalore,More,Delhi,Online,1821.42,7,Grocery,3129,Failed
145,2024-10-01,23:30:48,3287.21,Electronics,Pune,More,Chennai,ATM,3287.21,17,Retail,2074,Success
146,2024-10-01,2:03:53,4094.62,Furniture,Pune,Spencer's,Mumbai,Online,4094.62,20,Electronics,1601,Success
147,2024-10-01,12:10:45,3637.07,Groceries,Bangalore,Metro,Mumbai,POS,3637.07,6,Apparel,2957,Failed
148,2024-10-01,13:17:35,3270.73,Groceries,Kolkata,D Mart,Hyderabad,POS,3270.73,18,Retail,1575,Pending
149,2024-10-01,13:41:04,3796.26,Electronics,Pune,More,Mumbai,POS,3796.26,12,Grocery,2847,Success
150,2024-10-01,21:03:15,4301.16,Healthcare,Hyderabad,Big Bazaar,Chennai,Online,4301.16,5,Electronics,2559,Pending
151,2024-10-01,10:21:12,4140.94,Furniture,Chennai,D Mart,Bangalore,ATM,4140.94,17,Apparel,3187,Failed
152,2024-10-01,17:00:59,2925.12,Clothing,Bangalore,More,Delhi,POS,2925.12,11,Furniture,2971,Failed
153,2024-10-01,9:17:15,4924.19,Clothing,Hyderabad,More,Kolkata,ATM,4924.19,14,Electronics,2906,Failed
154,2024-10-01,18:39:39,4044.24,Healthcare,Bangalore,More,Hyderabad,Online,4044.24,10,Furniture,710,Success
155,2024-10-01,12:58:29,4854.35,Furniture,Bangalore,Croma,Delhi,Online,4854.35,2,Retail,698,Success
156,2024-10-01,16:50:46,4107.3,Clothing,Kolkata,Reliance Fresh,Hyderabad,ATM,4107.3,8,Retail,2598,Success
157,2024-10-01,11:18:52,1090.08,Groceries,Pune,Metro,Pune,POS,1090.08,3,Grocery,1056,Success
158,2024-10-01,5:26:35,1957.89,Furniture,Mumbai,HyperCity,Delhi,ATM,1957.89,14,Furniture,2402,Pending
159,2024-10-01,6:58:37,1319.67,Groceries,Bangalore,Spencer's,Bangalore,ATM,1319.67,17,Furniture,2317,Failed
160,2024-10-01,15:33:13,2236.22,Healthcare,Kolkata,D Mart,Delhi,POS,2236.22,8,Apparel,2923,Failed
161,2024-10-01,8:19:03,4544.91,Furniture,Kolkata,More,Kolkata,POS,4544.91,5,Retail,3182,Success
162,2024-10-01,17:14:07,2148.32,Healthcare,Kolkata,Reliance Fresh,Bangalore,POS,2148.32,7,Retail,2899,Pending
163,2024-10-01,14:11:25,1482.97,Electronics,Kolkata,HyperCity,Pune,Online,1482.97,5,Grocery,762,Success
164,2024-10-01,12:14:56,1068.33,Healthcare,Delhi,HyperCity,Kolkata,POS,1068.33,20,Retail,1746,Success
165,2024-10-01,5:59:56,2197.2,Groceries,Mumbai,Croma,Delhi,POS,2197.2,9,Apparel,1678,Success
166,2024-10-01,3:22:00,1417.81,Healthcare,Chennai,D Mart,Mumbai,ATM,1417.81,6,Apparel,3000,Failed
167,2024-10-01,6:25:43,2834.07,Groceries,Kolkata,HyperCity,Delhi,Online,2834.07,12,Apparel,1614,Failed
168,2024-10-01,15:11:36,1943.82,Clothing,Hyderabad,More,Chennai,Online,1943.82,13,Grocery,3157,Pending
169,2024-10-01,8:01:54,4739.62,Clothing,Delhi,D Mart,Mumbai,ATM,4739.62,15,Apparel,1677,Pending
170,2024-10-01,3:44:32,2992.1,Groceries,Chennai,More,Hyderabad,Online,2992.1,15,Retail,1786,Pending
171,2024-10-01,10:22:25,2609.48,Groceries,Chennai,HyperCity,Delhi,POS,2609.48,7,Furniture,2184,Pending
172,2024-10-01,17:48:17,3121.49,Electronics,Pune,D Mart,Bangalore,Online,3121.49,6,Grocery,2233,Pending
173,2024-10-01,22:23:49,4798.37,Healthcare,Delhi,Croma,Delhi,Online,4798.37,14,Electronics,2017,Pending
174,2024-10-01,17:37:46,4342.4,Groceries,Kolkata,V-Mart,Delhi,ATM,4342.4,18,Grocery,1447,Success
175,2024-10-01,4:23:54,4535.18,Clothing,Kolkata,D Mart,Kolkata,Online,4535.18,19,Furniture,1325,Success
176,2024-10-01,3:57:17,1940.92,Clothing,Bangalore,More,Mumbai,POS,1940.92,15,Apparel,2577,Success
177,2024-10-01,22:11:03,1227.03,Furniture,Bangalore,More,Mumbai,ATM,1227.03,11,Electronics,1732,Failed
178,2024-10-01,1:15:53,3099.24,Furniture,Hyderabad,Croma,Delhi,POS,3099.24,20,Furniture,2925,Failed
179,2024-10-01,19:28:07,512.1,Healthcare,Delhi,HyperCity,Mumbai,Online,512.1,2,Electronics,2530,Success
180,2024-10-01,9:33:55,3500.24,Healthcare,Chennai,More,Chennai,ATM,3500.24,4,Grocery,2036,Failed
181,2024-10-01,16:10:57,3685.63,Clothing,Delhi,More,Hyderabad,ATM,3685.63,8,Grocery,2665,Success
182,2024-10-01,22:26:23,626.35,Groceries,Delhi,Big Bazaar,Chennai,ATM,626.35,2,Furniture,1073,Success
183,2024-10-01,22:46:06,1279.7,Groceries,Bangalore,More,Chennai,ATM,1279.7,15,Furniture,1937,Pending
184,2024-10-01,3:34:25,2776.62,Healthcare,Chennai,More,Kolkata,Online,2776.62,12,Furniture,2380,Failed
185,2024-10-01,15:47:41,1330.95,Healthcare,Chennai,More,Pune,Online,1330.95,7,Retail,2234,Failed
186,2024-10-01,14:42:45,4900.95,Electronics,Chennai,Reliance Fresh,Pune,ATM,4900.95,19,Electronics,2897,Success
187,2024-10-01,10:25:01,2570.97,Clothing,Pune,Metro,Delhi,ATM,2570.97,19,Retail,2431,Success
188,2024-10-01,19:30:46,4005.25,Healthcare,Delhi,More,Kolkata,POS,4005.25,1,Retail,2192,Failed
189,2024-10-01,18:13:57,1394.78,Clothing,Kolkata,Big Bazaar,Delhi,Online,1394.78,20,Grocery,3132,Success
190,2024-10-01,18:20:09,3094.47,Furniture,Mumbai,Metro,Kolkata,ATM,3094.47,16,Retail,2358,Pending
191,2024-10-01,23:04:01,4853.37,Electronics,Chennai,HyperCity,Kolkata,Online,4853.37,5,Retail,1475,Success
192,2024-10-01,2:55:00,1208.32,Furniture,Chennai,Reliance Fresh,Pune,ATM,1208.32,5,Retail,1336,Success
193,2024-10-01,23:34:09,3226.27,Groceries,Mumbai,More,Chennai,POS,3226.27,4,Grocery,2895,Success
194,2024-10-01,21:03:47,688.33,Healthcare,Kolkata,D Mart,Chennai,Online,688.33,11,Furniture,2691,Failed
195,2024-10-01,8:41:56,4695.81,Electronics,Hyderabad,D Mart,Mumbai,POS,4695.81,19,Grocery,1976,Failed
196,2024-10-01,18:36:18,2211.28,Electronics,Hyderabad,More,Kolkata,Online,2211.28,15,Electronics,2608,Pending
197,2024-10-01,7:54:01,966.33,Clothing,Delhi,HyperCity,Mumbai,POS,966.33,1,Furniture,2909,Pending
198,2024-10-01,15:41:49,2276.53,Healthcare,Delhi,More,Pune,Online,2276.53,19,Electronics,1864,Success
199,2024-10-01,23:19:13,1175.58,Clothing,Chennai,More,Mumbai,ATM,1175.58,7,Electronics,2643,Failed
200,2024-10-01,14:59:31,3747.08,Groceries,Pune,Metro,Pune,Online,3747.08,19,Furniture,2940,Failed
201,2024-10-01,23:31:46,1076.91,Healthcare,Chennai,Metro,Pune,Online,1076.91,8,Apparel,2960,Success
202,2024-10-01,9:19:34,1138.46,Electronics,Chennai,More,Hyderabad,POS,1138.46,18,Electronics,2304,Failed
203,2024-10-01,9:24:29,1881.25,Electronics,Delhi,Croma,Bangalore,Online,1881.25,5,Retail,2149,Success
204,2024-10-01,21:35:26,4955.45,Groceries,Chennai,Metro,Bangalore,ATM,4955.45,6,Apparel,3091,Success
205,2024-10-01,3:26:04,3008.88,Clothing,Mumbai,Reliance Fresh,Hyderabad,ATM,3008.88,2,Apparel,2017,Pending
206,2024-10-01,7:26:13,3746.96,Groceries,Chennai,D Mart,Pune,ATM,3746.96,1,Apparel,2646,Success
207,2024-10-01,17:48:37,1084.94,Clothing,Hyderabad,Metro,Bangalore,POS,1084.94,9,Grocery,2232,Pending
208,2024-10-01,18:17:51,3342.81,Groceries,Delhi,More,Mumbai,Online,3342.81,2,Retail,2514,Success
209,2024-10-01,19:04:45,3272.62,Furniture,Chennai,More,Pune,ATM,3272.62,15,Electronics,2029,Failed
210,2024-10-01,7:50:34,4518.69,Clothing,Hyderabad,D Mart,Bangalore,POS,4518.69,19,Electronics,2655,Failed
211,2024-10-01,10:39:46,1782.7,Electronics,Delhi,More,Chennai,Online,1782.7,5,Electronics,2061,Failed
212,2024-10-01,16:51:45,2453.83,Groceries,Mumbai,Croma,Mumbai,Online,2453.83,17,Retail,2797,Success
213,2024-10-02,16:41:58,1432.49,Furniture,Hyderabad,Easy Day,Mumbai,POS,1432.49,13,Electronics,1214,Success
214,2024-10-02,13:18:08,2700.43,Furniture,Hyderabad,Reliance Fresh,Hyderabad,Online,2700.43,17,Retail,2148,Pending
215,2024-10-02,23:45:09,3515.88,Furniture,Mumbai,More,Hyderabad,Online,3515.88,4,Electronics,3154,Pending
216,2024-10-02,12:39:57,773.61,Groceries,Delhi,HyperCity,Mumbai,POS,773.61,15,Retail,747,Success
217,2024-10-02,1:17:19,742.47,Electronics,Bangalore,Big Bazaar,Mumbai,POS,742.47,12,Furniture,3203,Failed
218,2024-10-02,6:50:26,2714.15,Electronics,Pune,More,Delhi,Online,2714.15,7,Retail,2664,Success
219,2024-10-02,4:47:01,3043.09,Electronics,Bangalore,HyperCity,Pune,ATM,3043.09,12,Apparel,1490,Failed
220,2024-10-02,21:37:30,3665.33,Healthcare,Bangalore,Big Bazaar,Mumbai,Online,3665.33,4,Furniture,3050,Success
221,2024-10-02,17:43:43,2001.93,Electronics,Hyderabad,More,Delhi,POS,2001.93,9,Apparel,1486,Failed
222,2024-10-02,8:15:37,2465.64,Electronics,Mumbai,More,Hyderabad,Online,2465.64,17,Grocery,1563,Success
